waveform	[0]		[1]	
t0	2018-03-21  12:31:36,208121		2018-03-21  12:31:36,208121	
delta t	2,000000E-6		2,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2018-03-21  12:31:36,208121	5,411505E-1	2018-03-21  12:31:36,208121	1,266180E-2
2018-03-21  12:31:36,208123	5,411505E-1	2018-03-21  12:31:36,208123	1,266180E-2
2018-03-21  12:31:36,208125	5,411505E-1	2018-03-21  12:31:36,208125	1,266180E-2
2018-03-21  12:31:36,208127	5,411505E-1	2018-03-21  12:31:36,208127	1,687118E-2
2018-03-21  12:31:36,208129	5,411505E-1	2018-03-21  12:31:36,208129	1,687118E-2
2018-03-21  12:31:36,208131	5,411505E-1	2018-03-21  12:31:36,208131	1,266180E-2
2018-03-21  12:31:36,208133	5,411505E-1	2018-03-21  12:31:36,208133	1,266180E-2
2018-03-21  12:31:36,208135	5,411505E-1	2018-03-21  12:31:36,208135	1,266180E-2
2018-03-21  12:31:36,208137	5,411505E-1	2018-03-21  12:31:36,208137	1,266180E-2
2018-03-21  12:31:36,208139	5,411505E-1	2018-03-21  12:31:36,208139	1,687118E-2
2018-03-21  12:31:36,208141	5,411505E-1	2018-03-21  12:31:36,208141	1,266180E-2
2018-03-21  12:31:36,208143	5,411505E-1	2018-03-21  12:31:36,208143	1,266180E-2
2018-03-21  12:31:36,208145	5,411505E-1	2018-03-21  12:31:36,208145	1,687118E-2
2018-03-21  12:31:36,208147	5,411505E-1	2018-03-21  12:31:36,208147	1,687118E-2
2018-03-21  12:31:36,208149	5,411505E-1	2018-03-21  12:31:36,208149	1,687118E-2
2018-03-21  12:31:36,208151	5,411505E-1	2018-03-21  12:31:36,208151	1,266180E-2
2018-03-21  12:31:36,208153	5,411505E-1	2018-03-21  12:31:36,208153	1,266180E-2
2018-03-21  12:31:36,208155	5,411505E-1	2018-03-21  12:31:36,208155	1,687118E-2
2018-03-21  12:31:36,208157	5,411505E-1	2018-03-21  12:31:36,208157	1,687118E-2
2018-03-21  12:31:36,208159	5,411505E-1	2018-03-21  12:31:36,208159	1,687118E-2
2018-03-21  12:31:36,208161	5,411505E-1	2018-03-21  12:31:36,208161	1,687118E-2
2018-03-21  12:31:36,208163	5,411505E-1	2018-03-21  12:31:36,208163	1,266180E-2
2018-03-21  12:31:36,208165	5,411505E-1	2018-03-21  12:31:36,208165	1,266180E-2
2018-03-21  12:31:36,208167	5,411505E-1	2018-03-21  12:31:36,208167	1,266180E-2
2018-03-21  12:31:36,208169	5,411505E-1	2018-03-21  12:31:36,208169	1,687118E-2
2018-03-21  12:31:36,208171	5,411505E-1	2018-03-21  12:31:36,208171	1,687118E-2
2018-03-21  12:31:36,208173	5,411505E-1	2018-03-21  12:31:36,208173	1,687118E-2
2018-03-21  12:31:36,208175	5,411505E-1	2018-03-21  12:31:36,208175	1,266180E-2
2018-03-21  12:31:36,208177	5,411505E-1	2018-03-21  12:31:36,208177	1,266180E-2
2018-03-21  12:31:36,208179	5,411505E-1	2018-03-21  12:31:36,208179	1,266180E-2
2018-03-21  12:31:36,208181	5,411505E-1	2018-03-21  12:31:36,208181	1,687118E-2
2018-03-21  12:31:36,208183	5,411505E-1	2018-03-21  12:31:36,208183	1,687118E-2
2018-03-21  12:31:36,208185	5,411505E-1	2018-03-21  12:31:36,208185	1,266180E-2
2018-03-21  12:31:36,208187	5,411505E-1	2018-03-21  12:31:36,208187	1,687118E-2
2018-03-21  12:31:36,208189	5,411505E-1	2018-03-21  12:31:36,208189	1,266180E-2
2018-03-21  12:31:36,208191	5,411505E-1	2018-03-21  12:31:36,208191	1,687118E-2
2018-03-21  12:31:36,208193	5,411505E-1	2018-03-21  12:31:36,208193	1,687118E-2
2018-03-21  12:31:36,208195	5,411505E-1	2018-03-21  12:31:36,208195	1,687118E-2
2018-03-21  12:31:36,208197	5,411505E-1	2018-03-21  12:31:36,208197	1,687118E-2
2018-03-21  12:31:36,208199	5,411505E-1	2018-03-21  12:31:36,208199	1,266180E-2
2018-03-21  12:31:36,208201	5,411505E-1	2018-03-21  12:31:36,208201	1,687118E-2
2018-03-21  12:31:36,208203	5,411505E-1	2018-03-21  12:31:36,208203	1,266180E-2
2018-03-21  12:31:36,208205	5,411505E-1	2018-03-21  12:31:36,208205	1,266180E-2
2018-03-21  12:31:36,208207	5,411505E-1	2018-03-21  12:31:36,208207	1,687118E-2
2018-03-21  12:31:36,208209	5,411505E-1	2018-03-21  12:31:36,208209	1,687118E-2
2018-03-21  12:31:36,208211	5,411505E-1	2018-03-21  12:31:36,208211	1,266180E-2
2018-03-21  12:31:36,208213	5,411505E-1	2018-03-21  12:31:36,208213	1,266180E-2
2018-03-21  12:31:36,208215	5,411505E-1	2018-03-21  12:31:36,208215	1,266180E-2
2018-03-21  12:31:36,208217	5,411505E-1	2018-03-21  12:31:36,208217	1,687118E-2
2018-03-21  12:31:36,208219	5,411505E-1	2018-03-21  12:31:36,208219	1,687118E-2
2018-03-21  12:31:36,208221	5,411505E-1	2018-03-21  12:31:36,208221	1,266180E-2
2018-03-21  12:31:36,208223	5,411505E-1	2018-03-21  12:31:36,208223	1,266180E-2
2018-03-21  12:31:36,208225	5,411505E-1	2018-03-21  12:31:36,208225	1,687118E-2
2018-03-21  12:31:36,208227	5,411505E-1	2018-03-21  12:31:36,208227	1,266180E-2
2018-03-21  12:31:36,208229	5,411505E-1	2018-03-21  12:31:36,208229	1,687118E-2
2018-03-21  12:31:36,208231	5,411505E-1	2018-03-21  12:31:36,208231	1,266180E-2
2018-03-21  12:31:36,208233	5,411505E-1	2018-03-21  12:31:36,208233	1,266180E-2
2018-03-21  12:31:36,208235	5,411505E-1	2018-03-21  12:31:36,208235	1,266180E-2
2018-03-21  12:31:36,208237	5,411505E-1	2018-03-21  12:31:36,208237	1,266180E-2
2018-03-21  12:31:36,208239	5,411505E-1	2018-03-21  12:31:36,208239	1,687118E-2
2018-03-21  12:31:36,208241	5,411505E-1	2018-03-21  12:31:36,208241	1,266180E-2
2018-03-21  12:31:36,208243	5,411505E-1	2018-03-21  12:31:36,208243	1,266180E-2
2018-03-21  12:31:36,208245	5,411505E-1	2018-03-21  12:31:36,208245	1,266180E-2
2018-03-21  12:31:36,208247	5,411505E-1	2018-03-21  12:31:36,208247	1,266180E-2
2018-03-21  12:31:36,208249	5,411505E-1	2018-03-21  12:31:36,208249	1,687118E-2
2018-03-21  12:31:36,208251	5,411505E-1	2018-03-21  12:31:36,208251	1,687118E-2
2018-03-21  12:31:36,208253	5,411505E-1	2018-03-21  12:31:36,208253	1,266180E-2
2018-03-21  12:31:36,208255	5,411505E-1	2018-03-21  12:31:36,208255	1,266180E-2
