Oscilloscope data: SCP 

Time base: 0,002402 seconds per division
Time offset: 0,000000 seconds
Channel A sensitivity : 2,000000 volts per division
Channel A offset: 0,000000 volts
Channel A color: 255
Channel B sensitivity : 0,500000 volts per division
Channel B offset: 0,000000 volts
Channel B color: 255
Channel A connected: yes
Channel B connected: yes

Column 1  Time (S)
Column 2  Channel_A Voltage(V)
Column 3  Channel_B Voltage(V)

Time                  Channel_A    Channel_B
--------------------------------------------
 0,000000000000e+000  0,0000e+000  0,0000e+000
 1,000000000000e-010  2,0000e-002  5,7143e-009
 1,084000016000e-010  2,1680e-002  6,2346e-009
 1,252000048000e-010  2,5040e-002  7,3559e-009
 1,588000112000e-010  3,1760e-002  1,0082e-008
 2,260000240000e-010  4,5200e-002  1,7470e-008
 3,604000496000e-010  7,2080e-002  3,9988e-008
 6,292001008000e-010  1,2584e-001  1,1599e-007
 1,166800203200e-009  2,3336e-001  3,9185e-007
 2,242000408000e-009  4,4840e-001  1,4390e-006
 4,392400817600e-009  8,7848e-001  5,5152e-006
 6,523353954205e-009  1,3047e+000  1,2161e-005
 1,000000000000e-008  2,0000e+000  2,8574e-005
 1,035578925400e-008  2,0000e+000  3,0607e-005
 1,106736776200e-008  2,0000e+000  3,4673e-005
 1,249052477800e-008  2,0000e+000  4,2805e-005
 1,533683880999e-008  2,0000e+000  5,9070e-005
 2,102946687399e-008  2,0000e+000  9,1598e-005
 3,241472300197e-008  2,0000e+000  1,5665e-004
 5,518523525794e-008  2,0000e+000  2,8676e-004
 1,007262597699e-007  2,0000e+000  5,4694e-004
 1,918083087938e-007  2,0000e+000  1,0672e-003
 3,739724068416e-007  2,0000e+000  2,1073e-003
 7,383006029371e-007  2,0000e+000  4,1859e-003
 1,466956995128e-006  2,0000e+000  8,3366e-003
 2,924269779510e-006  2,0000e+000  1,6612e-002
 5,838895348275e-006  2,0000e+000  3,3060e-002
 1,166814648580e-005  2,0000e+000  6,5543e-002
 2,166814648580e-005  2,0000e+000  1,2000e-001
 3,166814648580e-005  2,0000e+000  1,7288e-001
 4,166814648580e-005  2,0000e+000  2,2420e-001
 5,166814648580e-005  2,0000e+000  2,7398e-001
 6,166814648580e-005  2,0000e+000  3,2226e-001
 7,166814648580e-005  2,0000e+000  3,6905e-001
 8,166814648580e-005  2,0000e+000  4,1437e-001
 9,166814648580e-005  2,0000e+000  4,5826e-001
 1,016681464858e-004  2,0000e+000  5,0073e-001
 1,116681464858e-004  2,0000e+000  5,4180e-001
 1,216681464858e-004  2,0000e+000  5,8151e-001
 1,316681464858e-004  2,0000e+000  6,1987e-001
 1,416681464858e-004  2,0000e+000  6,5690e-001
 1,516681464858e-004  2,0000e+000  6,9263e-001
 1,616681464858e-004  2,0000e+000  7,2708e-001
 1,716681464858e-004  2,0000e+000  7,6028e-001
 1,816681464858e-004  2,0000e+000  7,9224e-001
 1,916681464858e-004  2,0000e+000  8,2299e-001
 2,016681464858e-004  2,0000e+000  8,5255e-001
 2,116681464858e-004  2,0000e+000  8,8094e-001
 2,216681464858e-004  2,0000e+000  9,0819e-001
 2,316681464858e-004  2,0000e+000  9,3431e-001
 2,416681464858e-004  2,0000e+000  9,5933e-001
 2,516681464858e-004  2,0000e+000  9,8326e-001
 2,616681464858e-004  2,0000e+000  1,0061e+000
 2,716681464858e-004  2,0000e+000  1,0280e+000
 2,816681464858e-004  2,0000e+000  1,0488e+000
 2,916681464858e-004  2,0000e+000  1,0686e+000
 3,016681464858e-004  2,0000e+000  1,0874e+000
 3,116681464858e-004  2,0000e+000  1,1053e+000
 3,216681464858e-004  2,0000e+000  1,1223e+000
 3,316681464858e-004  2,0000e+000  1,1383e+000
 3,416681464858e-004  2,0000e+000  1,1534e+000
 3,516681464858e-004  2,0000e+000  1,1677e+000
 3,616681464858e-004  2,0000e+000  1,1811e+000
 3,716681464858e-004  2,0000e+000  1,1936e+000
 3,816681464858e-004  2,0000e+000  1,2053e+000
 3,916681464858e-004  2,0000e+000  1,2163e+000
 4,016681464858e-004  2,0000e+000  1,2264e+000
 4,116681464858e-004  2,0000e+000  1,2358e+000
 4,216681464858e-004  2,0000e+000  1,2444e+000
 4,316681464858e-004  2,0000e+000  1,2523e+000
 4,416681464858e-004  2,0000e+000  1,2595e+000
 4,516681464858e-004  2,0000e+000  1,2659e+000
 4,616681464858e-004  2,0000e+000  1,2717e+000
 4,716681464858e-004  2,0000e+000  1,2769e+000
 4,816681464858e-004  2,0000e+000  1,2814e+000
 4,916681464858e-004  2,0000e+000  1,2852e+000
 5,016681464858e-004  2,0000e+000  1,2885e+000
 5,116681464858e-004  2,0000e+000  1,2912e+000
 5,216681464858e-004  2,0000e+000  1,2932e+000
 5,316681464858e-004  2,0000e+000  1,2947e+000
 5,416681464858e-004  2,0000e+000  1,2957e+000
 5,516681464858e-004  2,0000e+000  1,2961e+000
 5,616681464858e-004  2,0000e+000  1,2960e+000
 5,716681464858e-004  2,0000e+000  1,2955e+000
 5,816681464858e-004  2,0000e+000  1,2944e+000
 5,916681464858e-004  2,0000e+000  1,2928e+000
 6,016681464858e-004  2,0000e+000  1,2908e+000
 6,116681464858e-004  2,0000e+000  1,2883e+000
 6,216681464858e-004  2,0000e+000  1,2854e+000
