2018-03-21	12:18
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
  0,931            -39,814             28,053
  1,676            -38,019             43,346
  2,421            -36,130             53,326
  3,912            -32,901             64,116
  6,333            -29,277             72,228
 10,058            -25,484             76,468
 15,832            -21,602             78,098
 25,146            -17,652             77,583
 39,861            -13,724             74,609
 63,144             -9,838             68,489
100,024             -6,099             58,222
158,511             -2,712             41,066
251,271             -0,460             15,624
398,047             -0,372            -14,699
630,878             -2,531            -40,891
1000,054             -5,932            -58,716
1584,925             -9,721            -69,605
2511,963            -13,614            -76,166
3981,031            -17,542            -79,972
6309,524            -21,465            -81,595
9999,983            -25,464            -81,915
15848,875            -29,419            -80,819
25118,887            -33,262            -76,748
39810,687            -37,252            -71,490
63095,801            -41,116            -61,533
100000,016            -44,408            -45,053
158489,309            -46,721            -21,305
251188,688            -46,983              6,741
398107,246            -45,095             28,572
630957,261            -42,526             43,229
999999,978            -39,795             51,632
